year,month,day,hour,hourSin,hourCos,upper,lower,PVout,radiation flux,temperature,total precipitation,u-component of wind,v-component of wind,pressure,relative humidity
2022,9,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.652154541015648,0.0,-0.7626838684082031,-1.0588150024414062,1015.6087036132812,80.36187362670898
2022,9,3,0.5,0.13052619222005157,0.9914448613738104,0.0,0.0,0.0,0.0,21.642388916015648,0.0,-0.8952407836914062,-1.0600337982177734,1015.3823852539062,80.47031021118164
2022,9,3,1.0,0.25881904510252074,0.9659258262890683,0.0,0.0,0.0,0.0,21.632623291015648,0.0,-1.0277976989746094,-1.0612525939941406,1015.1560668945312,80.5787467956543
2022,9,3,1.5,0.3826834323650898,0.9238795325112867,0.0,0.0,0.0,0.0,21.59931335449221,0.0,-1.0618000030517578,-1.0721378326416016,1014.9795532226562,80.65840721130371
2022,9,3,2.0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,21.566003417968773,0.0,-1.0958023071289062,-1.0830230712890625,1014.8030395507812,80.73806762695312
2022,9,3,2.5,0.6087614290087207,0.7933533402912352,0.0,0.0,0.0,0.0,21.508706665039085,0.0,-1.0926799774169922,-1.154314041137695,1014.6719970703124,80.67215919494629
2022,9,3,3.0,0.7071067811865475,0.7071067811865476,0.0,0.0,0.0,0.0,21.4514099121094,0.0,-1.089557647705078,-1.225605010986328,1014.5409545898438,80.60625076293945
2022,9,3,3.5,0.7933533402912352,0.6087614290087207,0.0,0.0,0.0,0.0,21.38620910644533,0.0,-1.0600261688232422,-1.143999099731445,1014.4753723144532,80.63443183898926
2022,9,3,4.0,0.8660254037844386,0.5000000000000001,4.6166124,0.0,2.3083062,0.0,21.321008300781276,0.0,-1.0304946899414062,-1.0623931884765625,1014.4097900390624,80.66261291503906
2022,9,3,4.5,0.9238795325112867,0.38268343236508984,4.5409403,0.0,2.2704701,0.0,21.27170715332033,0.0,-0.9386920928955078,-1.139667510986328,1014.5270690917968,80.93319892883301
2022,9,3,5.0,0.9659258262890683,0.25881904510252074,4.4623775,0.0,2.2311888,0.0,21.2224060058594,0.0,-0.8468894958496094,-1.2169418334960938,1014.6443481445312,81.20378494262695
2022,9,3,5.5,0.9914448613738104,0.1305261922200517,4.587885,0.0,2.2939425,3.59375,21.236978149414085,0.0,-1.0020503997802734,-1.101552963256836,1014.8722839355468,81.51884651184082
2022,9,3,6.0,1.0,6.123233995736766e-17,4.7174664,0.0,2.3587332,7.1875,21.251550292968773,0.0,-1.1572113037109375,-0.986164093017578,1015.1002197265624,81.83390808105469
2022,9,3,6.5,0.9914448613738104,-0.1305261922200516,4.4944916,0.0,2.2472458,24.02286772429943,21.392678833007835,0.0,-0.9380149841308594,-1.1764163970947266,1015.3871154785156,81.97783279418945
2022,9,3,7.0,0.9659258262890683,-0.25881904510252063,4.264919,0.0,2.1324594,40.85823544859886,21.533807373046898,0.0,-0.7188186645507812,-1.366668701171875,1015.6740112304688,82.12175750732422
2022,9,3,7.5,0.9238795325112868,-0.3826834323650895,4.2561984,0.0,2.1280992,60.70711366832256,21.75556335449221,0.0,-0.7662410736083984,-1.3589706420898438,1015.7757568359376,81.71536445617676
2022,9,3,8.0,0.8660254037844387,-0.4999999999999998,4.266245,0.0,2.1331224,80.55599188804626,21.977319335937523,0.0,-0.8136634826660156,-1.3512725830078125,1015.8775024414062,81.3089714050293
