year,month,day,hour,hourSin,hourCos,upper,lower,PVout,price,imbalance,PVout_true,price_true,imbalance_true
2023,1,2,5.5,0.991444861,0.565263096,1.8955821,0,0.94779104,18.578936,18.43072,0,19.97,21.44
2023,1,2,6,1,0.5,1.9241757,0,0.96208787,19.173662,19.478662,0,18,21.67
2023,1,2,6.5,0.991444861,0.434736904,1.9422402,0,0.9711201,19.723356,20.445004,0.002639776,18.1,22.31
2023,1,2,7,0.965925826,0.370590477,1.9487002,0,0.9743501,20.326654,21.406786,0.005716241,21.29,22.88
2023,1,2,7.5,0.923879533,0.308658284,1.9053285,0,0.95266426,20.184587,21.602526,0.085330988,21.3,22.4
2023,1,2,8,0.866025404,0.25,1.8612916,0,0.9306458,20.34086,22.000435,0.14873082,21.79,22.21
2023,1,2,8.5,0.79335334,0.195619285,1.9328787,0,0.96643937,20.054178,21.78818,0.315996551,21.65,22.08
2023,1,2,9,0.707106781,0.146446609,1.9742737,0,0.98713684,19.94398,21.268408,0.42370418,20.02,21.08
2023,1,2,9.5,0.608761429,0.10332333,1.8928921,0,0.94644606,19.48968,20.626816,0.564005477,17.11,14.18
2023,1,2,10,0.5,0.066987298,1.7495775,0,0.87478876,19.27398,20.28172,0.689994438,13.35,8.86
2023,1,2,10.5,0.382683432,0.038060234,1.5038123,0,0.75190616,19.365507,20.349354,0.814734154,17.8,8.63
2023,1,2,11,0.258819045,0.017037087,1.2568784,0,0.6284392,19.217722,20.15575,0.922492401,17.65,0
2023,1,2,11.5,0.130526192,0.004277569,1.109746,0,0.554873,19.030392,20.000313,1.017809163,17.01,0
2023,1,2,12,1.22E-16,0,0.979787,0,0.4898935,18.767208,19.615623,1.080196033,16.45,0
2023,1,2,12.5,-0.130526192,0.004277569,0.95764756,0,0.47882378,18.62695,19.492197,0.986506162,16.2,11
2023,1,2,13,-0.258819045,0.017037087,0.96221995,0,0.48110998,18.319906,19.117355,0.975482878,16.21,11
2023,1,2,13.5,-0.382683432,0.038060234,0.9925103,0,0.49625516,18.358253,19.225796,0.939756156,11.73,11
2023,1,2,14,-0.5,0.066987298,1.0253173,0,0.51265866,18.256605,19.097378,0.827081302,12.19,11
2023,1,2,14.5,-0.608761429,0.10332333,1.1098359,0,0.55491793,18.390114,19.24727,0.692140219,17.7,15.76
2023,1,2,15,-0.707106781,0.146446609,1.1809391,0,0.59046954,18.638845,19.513561,0.606655938,19.81,21.83
2023,1,2,15.5,-0.79335334,0.195619285,1.2707835,0,0.6353918,19.235266,20.26351,0.379006728,18.11,8.3
2023,1,2,16,-0.866025404,0.25,1.3105432,0,0.6552716,20.279383,20.860415,0.192397623,19.83,19.1
2023,1,2,16.5,-0.923879533,0.308658284,1.3990165,0,0.69950825,19.951036,20.184494,0.100262516,19.83,11.9
2023,1,2,17,-0.965925826,0.370590477,1.4724512,0,0.7362256,20.519281,20.405205,0.030013292,21.91,24.45
2023,1,2,17.5,-0.991444861,0.434736904,1.4809974,0,0.7404987,19.82435,19.295292,0.013104036,22.81,23.17
2023,1,2,18,-1,0.5,1.493129,0,0.7465645,19.153875,18.238174,0,21.95,23.65
2023,1,2,18.5,-0.991444861,0.565263096,1.5948876,0,0.7974438,18.499191,17.434929,0,22.59,22.81
2023,1,2,19,-0.965925826,0.629409523,1.6281588,0,0.8140794,18.357666,17.27875,0,22.81,23.29
2023,1,2,19.5,-0.923879533,0.691341716,1.620634,0,0.810317,18.360321,17.332703,0,22.81,23.42
2023,1,2,20,-0.866025404,0.75,0,0,0,21.528864,22.094612,0,23.01,23.23
2023,1,2,20.5,-0.79335334,0.804380715,0,0,0,21.10459,22.000893,0,23.01,23.51
