Unnamed: 0,year,month,day,hour,Pressure,temperature,u-component of wind,v-component of wind,Relative humidity,Total cloud cover,Total precipitation,radiation flux
,2022,8,1,0.0,1011.146728515625,26.924859619140648,-0.8047380447387695,-0.2825183868408203,86.37578964233398,21.240234375,0.0,0.0
,2022,8,1,0.5,1010.855010986328,26.720819091796898,-0.7781438827514648,0.0696678161621093,86.75102996826172,16.4306640625,0.0,0.0
,2022,8,1,1.0,1010.5632934570312,26.516778564453148,-0.7515497207641602,0.421854019165039,87.12627029418945,11.62109375,0.0,0.0
,2022,8,1,1.5,1010.3434448242188,26.28058776855471,-0.7010068893432617,0.5508852005004883,88.0764274597168,18.310546875,0.0,0.0
,2022,8,1,2.0,1010.1235961914062,26.04439697265628,-0.6504640579223633,0.6799163818359375,89.02658462524414,25.0,0.0,0.0
,2022,8,1,2.5,1010.0669555664062,25.79303894042971,-0.4450082778930664,0.5262393951416016,90.92642593383788,26.025390625,0.0,0.0
,2022,8,1,3.0,1010.0103149414062,25.541680908203148,-0.2395524978637695,0.3725624084472656,92.82626724243164,27.05078125,0.0,0.0
,2022,8,1,3.5,1010.1642761230468,25.41938171386721,0.0784015655517578,0.1927084922790527,93.2802677154541,35.64453125,0.0,0.0
,2022,8,1,4.0,1010.3182373046876,25.29708251953128,0.3963556289672851,0.0128545761108398,93.73426818847656,44.23828125,0.0,0.0
,2022,8,1,4.5,1010.51318359375,25.219537353515648,0.4792008399963379,-0.3492159843444824,93.81354904174805,43.4814453125,0.0,0.21875
,2022,8,1,5.0,1010.7081298828124,25.141992187500023,0.5620460510253906,-0.7112865447998047,93.89282989501952,42.724609375,0.0,0.4375
,2022,8,1,5.5,1010.8729248046876,25.2465759277344,0.3802647590637207,-0.4899330139160156,93.76930809020996,45.7275390625,0.0,18.90625
,2022,8,1,6.0,1011.0377197265624,25.351159667968773,0.1984834671020507,-0.2685794830322265,93.6457862854004,48.73046875,0.0,37.375
,2022,8,1,6.5,1011.1018371582032,25.874444580078148,-0.0244817733764648,-0.2487950325012207,91.03280067443848,65.7470703125,0.0,77.92960584163666
,2022,8,1,7.0,1011.1659545898438,26.397729492187523,-0.2474470138549804,-0.2290105819702148,88.41981506347656,82.763671875,0.0,118.48421168327332
,2022,8,1,7.5,1011.1823425292968,26.956811523437523,-0.2929539680480957,-0.1448855400085449,85.85645294189453,73.0712890625,0.0,180.41157376766205
,2022,8,1,8.0,1011.19873046875,27.515893554687523,-0.3384609222412109,-0.060760498046875,83.2930908203125,63.37890625,0.0,242.3389358520508
,2022,8,1,8.5,1011.150634765625,28.257974243164085,-0.4213600158691406,-0.0615887641906738,80.45835876464844,61.4501953125,0.0,336.61381006240845
,2022,8,1,9.0,1011.1025390625,29.000054931640648,-0.5042591094970703,-0.0624170303344726,77.62362670898438,59.521484375,0.0,430.8886842727661
,2022,8,1,9.5,1010.9369201660156,29.772988891601585,-0.7076497077941895,0.2777442932128906,74.66954231262207,57.8369140625,0.0,513.3555569648743
,2022,8,1,10.0,1010.7713012695312,30.545922851562523,-0.9110403060913086,0.6179056167602539,71.71545791625977,56.15234375,0.0,595.8224296569824
,2022,8,1,10.5,1010.498504638672,31.125573730468773,-0.7724161148071289,0.6188483238220215,69.45221328735352,35.205078125,0.0,635.3679933547974
,2022,8,1,11.0,1010.2257080078124,31.705224609375023,-0.6337919235229492,0.6197910308837891,67.18896865844727,14.2578125,0.0,674.9135570526123
,2022,8,1,11.5,1009.821258544922,32.32766113281252,-0.4829025268554687,0.7709059715270996,65.07938194274902,13.037109375,0.0,710.4042406082153
,2022,8,1,12.0,1009.4168090820312,32.95009765625002,-0.3320131301879883,0.9220209121704102,62.96979522705078,11.81640625,0.0,745.8949241638184
,2022,8,1,12.5,1009.0813598632812,33.49428710937502,-0.3477678298950195,1.1683921813964844,61.22910404205322,15.72265625,0.0,749.9281930923462
,2022,8,1,13.0,1008.7459106445312,34.03847656250002,-0.3635225296020508,1.4147634506225586,59.488412857055664,19.62890625,0.0,753.961462020874
,2022,8,1,13.5,1008.376922607422,34.37264404296877,-0.3326377868652344,1.7087836265563965,58.787123680114746,23.9990234375,0.0,714.9057102203369
,2022,8,1,14.0,1008.0079345703124,34.70681152343752,-0.3017530441284179,2.0028038024902344,58.08583450317383,28.369140625,0.0,675.8499584197998
,2022,8,1,14.5,1007.9180297851562,34.659402465820335,-0.038464069366455,2.52439546585083,58.62595653533936,27.978515625,0.0,614.2860450744629
,2022,8,1,15.0,1007.828125,34.61199340820315,0.2248249053955078,3.045987129211426,59.16607856750488,27.587890625,0.0,552.722131729126
,2022,8,1,15.5,1007.916015625,34.29107055664065,-0.1724090576171875,2.793550491333008,58.62735557556152,32.9345703125,0.0,479.2450995445252
,2022,8,1,16.0,1008.00390625,33.97014770507815,-0.5696430206298828,2.54111385345459,58.08863258361816,38.28125,0.0,405.7680673599243
,2022,8,1,16.5,1008.2530822753906,33.3389831542969,-1.1957249641418457,1.9485015869140625,59.30376720428467,43.1640625,0.0,345.15633487701416
,2022,8,1,17.0,1008.5022583007812,32.70781860351565,-1.8218069076538088,1.3558893203735352,60.51890182495117,48.046875,0.0,284.544602394104
,2022,8,1,17.5,1008.7733154296876,31.536035156250023,-2.2092485427856445,0.806981086730957,66.42125511169434,49.462890625,0.0,204.9549750089645
,2022,8,1,18.0,1009.0443725585938,30.3642517089844,-2.5966901779174805,0.2580728530883789,72.3236083984375,50.87890625,0.0,125.36534762382507
