year,month,day,hour,PV_predict,PV_actual,energyprice_predict,energyprice_actual,imbalanceprice_predict,imbalanceprice_actual,charge/discharge_bid,charge/discharge_plan,charge/discharge_actual,SoC_bid,SoC_plan,SoC_actual,energytransfer_bid,energytransfer_plan,energytransfer_actual,profit
2022,8,23,0.0,0.0,,12.33006,,18.141514,,-0.0,,,0.0,,,0.0,,,
2022,8,23,0.5,0.0,,12.3240645,,18.0731525,,0.0,,,0.0,,,0.0,,,
2022,8,23,1.0,0.0,,12.37059,,18.0154515,,-0.0,,,0.0,,,0.0,,,
2022,8,23,1.5,0.0,,12.4714965,,17.977888,,-0.0,,,0.0,,,0.0,,,
2022,8,23,2.0,0.0,,12.62717,,17.93701,,-0.0,,,0.0,,,0.0,,,
2022,8,23,2.5,0.0,,12.83139,,17.912361,,-0.0,,,0.0,,,0.0,,,
2022,8,23,3.0,0.0,,13.1780815,,18.00721,,0.0,,,0.0,,,0.0,,,
2022,8,23,3.5,0.0,,13.591938,,18.159178,,-0.0,,,0.0,,,0.0,,,
2022,8,23,4.0,0.08384956,,14.307335,,15.8017235,,0.0,,,0.0,,,0.04192478,,,
2022,8,23,4.5,0.08366978,,14.6674845,,16.403063,,-0.08366978,,,0.0,,,0.0,,,
2022,8,23,5.0,0.083490014,,14.9433555,,16.9682715,,0.04183489,,,1.04587225,,,0.041745007,,,
2022,8,23,5.5,0.08621618,,15.011074,,17.158675,,0.020917445,,,0.522936125,,,0.04310809,,,
2022,8,23,6.0,0.08894236,,15.4049885,,17.752435,,-0.08894236,,,0.2614680625,,,0.0,,,
2022,8,23,6.5,0.109501526,,15.374851,,17.775465,,0.0549299025,,,1.3732475625,,,0.054750763,,,
2022,8,23,7.0,0.1300607,,15.3505705,,18.051607,,0.02746495125,,,0.68662378125,,,0.06503035,,,
2022,8,23,7.5,0.15568209,,15.3688795,,18.456991,,0.013732475625,,,0.343311890625,,,0.077841045,,,
2022,8,23,8.0,0.20128205,,15.50143,,18.966505,,-0.20128205,,,0.1716559453125,,,0.0,,,
2022,8,23,8.5,0.2524876,,15.6628285,,19.495,,0.1075072628124999,,,2.6876815703125,,,0.1262438,,,
2022,8,23,9.0,0.3374244,,16.355755,,20.266058,,-0.0,,,1.34384078515625,,,0.1687122,,,
2022,8,23,9.5,0.5116382,,16.939041,,20.6882685,,0.0537536314062499,,,1.34384078515625,,,0.2558191,,,
2022,8,23,10.0,0.685852,,16.836465,,20.6071875,,0.0268768157031249,,,0.671920392578125,,,0.342926,,,
