,year,month,day,hour,Pressure,temperature,u-component of wind,v-component of wind,Relative humidity,Total cloud cover,Total precipitation,radiation flux
0,2022,9,3,0.0,1015.6415405273438,21.500695800781273,-0.05059814453125,-1.1678581237792969,89.02734756469727,82.763671875,0.0,0.0
1,2022,9,3,0.5,1015.4575805664062,21.421487426757835,-0.1762866973876953,-1.0914897918701172,89.12621116638184,74.51171875,0.0,0.0
2,2022,9,3,1.0,1015.2736206054688,21.342279052734398,-0.3019752502441406,-1.0151214599609375,89.2250747680664,66.259765625,0.0,0.0
3,2022,9,3,1.5,1015.0723876953125,21.266870117187523,-0.4131641387939453,-1.0370140075683594,88.87562370300293,64.74609375,0.0,0.0
4,2022,9,3,2.0,1014.8711547851562,21.191461181640648,-0.52435302734375,-1.0589065551757812,88.52617263793945,63.232421875,0.0,0.0
5,2022,9,3,2.5,1014.750244140625,21.10907897949221,-0.5847625732421875,-1.2033615112304688,86.76235580444336,60.8154296875,0.0,0.0
6,2022,9,3,3.0,1014.6293334960938,21.026696777343773,-0.645172119140625,-1.3478164672851562,84.99853897094727,58.3984375,0.0,0.0
7,2022,9,3,3.5,1014.6193237304688,20.95984802246096,-0.6100692749023438,-1.2176189422607422,83.05200004577637,59.3994140625,0.0,0.0
8,2022,9,3,4.0,1014.6093139648438,20.892999267578148,-0.5749664306640625,-1.0874214172363281,81.10546112060547,60.400390625,0.0,0.0
9,2022,9,3,4.5,1014.7236022949219,20.843484497070335,-0.6212673187255859,-1.058969497680664,80.83591651916504,69.384765625,0.0,3.1875
10,2022,9,3,5.0,1014.837890625,20.793969726562523,-0.6675682067871094,-1.030517578125,80.56637191772461,78.369140625,0.0,6.375
11,2022,9,3,5.5,1015.115966796875,20.810968017578148,-0.7413330078125,-0.9364242553710938,81.17804527282715,75.439453125,0.09375,28.598198756575584
12,2022,9,3,6.0,1015.39404296875,20.827966308593773,-0.8150978088378906,-0.8423309326171875,81.78971862792969,72.509765625,0.1875,50.82139751315117
13,2022,9,3,6.5,1015.5908813476562,20.75873718261721,-0.6758480072021484,-1.0355377197265625,84.06253242492676,67.041015625,0.171875,84.52097801864147
14,2022,9,3,7.0,1015.7877197265625,20.689508056640648,-0.5365982055664062,-1.2287445068359375,86.33534622192383,61.572265625,0.15625,118.22055852413177
15,2022,9,3,7.5,1015.8422241210938,20.80378112792971,-0.5681896209716797,-1.3018856048583984,87.06753158569336,60.986328125,0.078125,160.90785080194473
16,2022,9,3,8.0,1015.896728515625,20.918054199218773,-0.5997810363769531,-1.3750267028808594,87.79971694946289,60.400390625,0.0,203.5951430797577
17,2022,9,3,8.5,1015.9669189453125,21.275445556640648,-0.5675048828125,-1.4481048583984375,87.01831150054932,56.298828125,0.0,220.34070521593094
18,2022,9,3,9.0,1016.037109375,21.632836914062523,-0.5352287292480469,-1.5211830139160156,86.23690605163574,52.197265625,0.0,237.0862673521042
19,2022,9,3,9.5,1015.9116821289062,22.17872009277346,-0.6178646087646484,-1.5513172149658203,84.7032880783081,50.8056640625,0.0,253.83182948827744
20,2022,9,3,10.0,1015.7862548828125,22.724603271484398,-0.70050048828125,-1.581451416015625,83.16967010498047,49.4140625,0.0,270.5773916244507
21,2022,9,3,10.5,1015.5072326660156,23.186624145507835,-0.9488029479980469,-1.4249820709228516,82.09359169006348,50.4150390625,0.0,299.0976800918579
22,2022,9,3,11.0,1015.2282104492188,23.648645019531273,-1.1971054077148438,-1.2685127258300781,81.01751327514648,51.416015625,0.0,327.61796855926514
23,2022,9,3,11.5,1015.0074462890625,23.95093688964846,-1.4212894439697266,-1.0719032287597656,80.30754566192627,63.8916015625,0.0,329.39933729171753
24,2022,9,3,12.0,1014.7866821289062,24.253228759765648,-1.6454734802246094,-0.8752937316894531,79.59757804870605,76.3671875,0.0,331.1807060241699
25,2022,9,3,12.5,1014.6589050292969,24.294702148437523,-1.7913436889648438,-0.7257213592529297,79.617262840271,77.7099609375,0.0,270.16734075546265
26,2022,9,3,13.0,1014.5311279296875,24.336175537109398,-1.9372138977050781,-0.5761489868164062,79.63694763183594,79.052734375,0.0,209.15397548675537
27,2022,9,3,13.5,1014.3056030273438,24.47254333496096,-1.9028778076171875,-0.6854343414306641,78.92184066772461,62.8662109375,0.0,216.86322021484375
28,2022,9,3,14.0,1014.080078125,24.608911132812523,-1.8685417175292969,-0.7947196960449219,78.20673370361328,46.6796875,0.0,224.57246494293213
29,2022,9,3,14.5,1013.8999938964844,24.55903015136721,-1.9206962585449219,-0.7818260192871094,77.48949909210205,53.173828125,0.0,207.32522296905518
30,2022,9,3,15.0,1013.7199096679688,24.509149169921898,-1.9728507995605469,-0.7689323425292969,76.77226448059082,59.66796875,0.0,190.07798099517822
31,2022,9,3,15.5,1013.8235778808594,24.341088867187523,-1.8114185333251953,-0.9072189331054688,76.89793014526367,55.4931640625,0.0,156.70285487174988
32,2022,9,3,16.0,1013.92724609375,24.173028564453148,-1.6499862670898438,-1.0455055236816406,77.02359580993652,51.318359375,0.0,123.32772874832153
33,2022,9,3,16.5,1014.0415649414062,23.947442626953148,-1.664987564086914,-1.0223560333251953,77.52267551422119,48.14453125,0.0,101.5520955324173
34,2022,9,3,17.0,1014.1558837890625,23.721856689453148,-1.6799888610839844,-0.99920654296875,78.02175521850586,44.970703125,0.0,79.77646231651306
35,2022,9,3,17.5,1014.3963928222656,23.418145751953148,-1.6160926818847656,-1.0076866149902344,78.92701625823975,48.92578125,0.0,51.76900698244572
