year,month,day,hour,Pressure,temperature,u-component of wind,v-component of wind,Relative humidity,Total cloud cover,Total precipitation,radiation flux
2022,9,4,0.0,1015.3778076171875,21.952325439453148,-1.0077247619628906,-1.0840187072753906,88.50111770629883,32.51953125,0.0,0.0
2022,9,4,0.5,1015.1391296386719,21.847650146484398,-0.7357769012451172,-1.1442642211914062,89.01886367797852,35.0830078125,0.0,0.0
2022,9,4,1.0,1014.9004516601562,21.742974853515648,-0.46382904052734375,-1.2045097351074219,89.5366096496582,37.646484375,0.0,0.0
2022,9,4,1.5,1014.8330688476562,21.654779052734398,-0.4419708251953125,-1.1553497314453125,89.85536861419678,41.7724609375,0.0,0.0
2022,9,4,2.0,1014.7656860351562,21.566583251953148,-0.42011260986328125,-1.1061897277832031,90.17412757873535,45.8984375,0.0,0.0
2022,9,4,2.5,1014.7889709472656,21.501077270507835,-0.3057365417480469,-1.1452884674072266,90.44424724578857,48.486328125,0.0,0.0
2022,9,4,3.0,1014.812255859375,21.435571289062523,-0.1913604736328125,-1.18438720703125,90.7143669128418,51.07421875,0.0,0.0
2022,9,4,3.5,1014.9479064941406,21.37391052246096,-0.24338912963867188,-1.1813125610351562,90.92353534698486,53.1982421875,0.0,0.0
2022,9,4,4.0,1015.0835571289062,21.312249755859398,-0.29541778564453125,-1.1782379150390625,91.13270378112793,55.322265625,0.0,0.0
2022,9,4,4.5,1015.2257995605469,21.227563476562523,-0.24829673767089844,-1.0816421508789062,91.64402675628662,53.076171875,0.015625,0.0
2022,9,4,5.0,1015.3680419921875,21.142877197265648,-0.20117568969726562,-0.98504638671875,92.15534973144531,50.830078125,0.03125,0.0
2022,9,4,5.5,1015.5939025878906,21.12775573730471,-0.19353103637695312,-1.060312271118164,92.49667930603027,49.6337890625,0.046875,6.1875
2022,9,4,6.0,1015.8197631835938,21.112634277343773,-0.18588638305664062,-1.1355781555175781,92.83800888061523,48.4375,0.0625,12.375
2022,9,4,6.5,1015.8989562988281,21.40455017089846,-0.6220893859863281,-1.03399658203125,92.16807556152344,46.0693359375,0.046875,49.4829141125083
2022,9,4,7.0,1015.9781494140625,21.696466064453148,-1.0582923889160156,-0.9324150085449219,91.49814224243164,43.701171875,0.03125,86.5908282250166
2022,9,4,7.5,1015.9546203613281,22.293115234375023,-1.1362190246582031,-1.0531177520751953,89.41498184204102,41.6259765625,0.015625,140.6418497785926
2022,9,4,8.0,1015.9310913085938,22.889764404296898,-1.2141456604003906,-1.1738204956054688,87.33182144165039,39.55078125,0.0,194.69287133216858
2022,9,4,8.5,1015.9018249511719,23.601251220703148,-1.427713394165039,-1.0001850128173828,85.11223697662354,43.4814453125,0.0,252.9615821838379
2022,9,4,9.0,1015.87255859375,24.312738037109398,-1.6412811279296875,-0.8265495300292969,82.89265251159668,47.412109375,0.0,311.2302930355072
2022,9,4,9.5,1015.7916259765625,24.903344726562523,-1.9235115051269531,-0.6323814392089844,81.0070161819458,50.9521484375,0.0,342.1920305490494
2022,9,4,10.0,1015.710693359375,25.493951416015648,-2.2057418823242188,-0.4382133483886719,79.12137985229492,54.4921875,0.0,373.15376806259155
2022,9,4,10.5,1015.5269165039062,25.789117431640648,-2.440694808959961,-0.42944908142089844,78.11007595062256,58.7158203125,0.0,392.3024477958679
2022,9,4,11.0,1015.3431396484375,26.084283447265648,-2.675647735595703,-0.420684814453125,77.0987720489502,62.939453125,0.0,411.4511275291443
2022,9,4,11.5,1015.1835021972656,26.239785766601585,-2.709157943725586,-0.3632488250732422,76.60640716552734,59.8388671875,0.0,409.59344267845154
2022,9,4,12.0,1015.0238647460938,26.395288085937523,-2.7426681518554688,-0.3058128356933594,76.11404228210449,56.73828125,0.0,407.7357578277588
2022,9,4,12.5,1014.7796936035156,26.491876220703148,-2.8430442810058594,-0.2175464630126953,75.79170227050781,54.6142578125,0.0,407.09950256347656
2022,9,4,13.0,1014.5355224609375,26.588464355468773,-2.94342041015625,-0.12928009033203125,75.46936225891113,52.490234375,0.0,406.46324729919434
2022,9,4,13.5,1014.3223571777344,26.564431762695335,-2.998624801635742,-0.13365554809570312,75.55002021789551,47.4609375,0.0,401.7224383354187
2022,9,4,14.0,1014.1091918945312,26.540399169921898,-3.0538291931152344,-0.138031005859375,75.63067817687988,42.431640625,0.0,396.98162937164307
2022,9,4,14.5,1013.95751953125,26.480630493164085,-3.1057815551757812,-0.13761329650878906,75.99257946014404,38.7451171875,0.0,382.2410774230957
2022,9,4,15.0,1013.8058471679688,26.420861816406273,-3.157733917236328,-0.13719558715820312,76.3544807434082,35.05859375,0.0,367.50052547454834
2022,9,4,15.5,1013.83447265625,26.130166625976585,-3.170461654663086,-0.1909027099609375,77.4077205657959,36.181640625,0.0,301.7105896472931
2022,9,4,16.0,1013.8630981445312,25.839471435546898,-3.1831893920898438,-0.24460983276367188,78.4609603881836,37.3046875,0.0,235.92065382003784
2022,9,4,16.5,1013.9546203613281,25.503900146484398,-3.0915775299072266,-0.29258155822753906,79.81844997406006,38.4033203125,0.0,174.70173692703247
2022,9,4,17.0,1014.046142578125,25.168328857421898,-2.9999656677246094,-0.34055328369140625,81.17593955993652,39.501953125,0.0,113.4828200340271
2022,9,4,17.5,1014.193359375,24.875878906250023,-2.8041152954101562,-0.46707725524902344,82.45294857025146,43.3837890625,0.0,70.25843441486359
2022,9,4,18.0,1014.340576171875,24.583428955078148,-2.608264923095703,-0.5936012268066406,83.7299575805664,47.265625,0.0,27.034048795700073
