,gain
radiation flux,0.9969136111729072
pressure,0.0004156073279380361
v-component of wind,0.00041114750309469703
relative humidity,0.00037197654153370367
u-component of wind,0.0003611840149931325
temperature,0.00035867445502014685
yearSin,0.00034408744522413927
yearCos,0.0003397253604564246
hourSin,0.0002074675642381712
hourCos,0.00014615205577929552
monthCos,6.943674271339627e-05
monthSin,5.7808057846822404e-05
total precipitation,3.121758254816061e-06
