,number_of_features,day,Loss,PICP,MPIW,verification
0,1,1,20.402812533012103,0.5833333333333334,6.250765749386379,0.0
0,1,2,20.37536943058421,0.5833333333333334,6.223322646958487,0.0
0,1,3,17.149342766141913,0.6250000000000119,6.030921713511149,0.0
0,1,4,17.139840148624618,0.625,6.021419095993042,0.0
0,1,5,8.851585887062981,0.7932594816633646,6.265523772490652,0.0
0,1,1,21.888907452833013,0.562501618540068,6.083118438720703,1.0
0,1,2,19.276029621847684,0.5833333333333334,5.123982838221958,1.0
0,1,3,17.251357880297263,0.6250001393784642,6.132946364084879,1.0
0,1,4,18.76452466167012,0.6041666666666666,6.174977878044391,1.0
0,1,5,7.958872895780639,0.8271427240663707,6.370040237903595,1.0
0,1,1,19.65104895078249,0.5833333333333334,5.499002167156765,2.0
0,1,2,19.457387412010522,0.5863261000076406,5.5354184082576205,2.0
0,1,3,17.155005255080095,0.6250000000000001,6.036584202448527,2.0
0,1,4,18.485375770615768,0.6041666666666666,5.895828986990041,2.0
0,1,5,7.463219216339304,0.8333333373327104,6.030470776557922,2.0
